알루미늄-시장전망지표,,,
2025-02-19,,,
기준월,시장전망 지표,전월대비 등락가,전월대비 등락률
2025.02,26.98,4.71,21.15
2025.01,22.27,4.55,25.68
2024.12,17.72,1.91,12.08
2024.11,15.81,-10.45,-39.79
2024.10,26.26,-11.13,-29.77
2024.09,37.39,3.13,9.14
2024.08,34.26,12.74,59.2
2024.07,21.52,6.05,39.11
2024.06,15.47,-4.12,-21.03
2024.05,19.59,-25.72,-56.76
2024.04,45.31,-3.7,-7.55
2024.03,49.01,2.17,4.63
2024.02,46.84,-1.32,-2.74
2024.01,48.16,2.84,6.27
2023.12,45.32,-1.55,-3.31
2023.11,46.87,-1.1,-2.29
2023.10,47.97,-4.89,-9.25
2023.09,52.86,2.24,4.43
2023.08,50.62,2.52,5.24
2023.07,48.1,9.28,23.91
2023.06,38.82,8.08,26.28
2023.05,30.74,-5.27,-14.63
2023.04,36.01,11.77,48.56
2023.03,24.24,6.1,33.63
2023.02,18.14,-6.14,-25.29
2023.01,24.28,0,0
